相談内容,回答内容,回答に使用したQA資料
火災保険の手続きについて,滋賀県国際協会の情報に基づくと、火災保険は住宅の所有形態に関わらず加入が推奨されます。賃貸の場合、建物の火災保険は大家が、室内の家財は入居者がそれぞれ加入・保険料を支払うケースが一般的です。持ち家では建物と家財の両方をカバーする火災保険に加入します。手続きの具体的な窓口や要件についての詳述はS1の記載範囲内です。,"[{""sid"": ""S1"", ""question"": ""火災保険について"", ""answer"": ""住宅は賃貸や持ち家にかかわらず、火災保険に加入する必要があります。 賃貸アパートやマンションなどの場合、入居時や更新時に「大家」と「入居者」がそれぞれ火災保険に加入するケースが一般的です。建物は大家の資産なので、建物に対する火災保険は大家が加入して保険料を支払い、室内の家具や家電などの家財道具に対する保険は、入居者が加入し保険料を支払います。持ち家であれば建物と家財の両方を補償する火災保険に入ります。""}]"
賃貸契約について,賃貸契約についての基本は、不動産業者へ相談して契約条件を確認してください。主な費用として、敷金（退去時返金）、礼金（返金なし）、仲介手数料（通常1ヶ月分）があります。入居時の保険は、賃貸では家財の保険を入居者が、建物の保険は大家が負担するケースが一般的です。S1の内容に基づき、これらを理解して契約を進めてください。,"[{""sid"": ""S1"", ""question"": ""賃貸住居"", ""answer"": ""家やアパートを借りたい場合は、不動産業者に相談してください。\n\n契約に必要とされるのは\n敷金\n家賃支払いの担保として家主に預けておくお金です。退去する際に返金されるものです。未払い賃料および借りていた家の中に損害がある場合は、その修理費をさし引かれますが、残高が戻ります。\n礼金\n家主に支払う一時金で返金されないもの。\n報酬\n不動産業者に仲介を依頼した時は、通常1ヶ月分が必要です。""}]"
ビザと荷物の預け入れについて,ビザと荷物の預け入れについては、滋賀県国際協会の情報には直接の記載がありません。従って、ビザ申請や海外からの荷物の預け入れ手続きについては、出入国管理関連や動物検疫等の公的機関（例：法務省・出入国在留管理庁、検疫当局）に確認してください。,"[{""sid"": ""S1"", ""question"": ""日本の労働関係法令（事業主側に求められていること ）"", ""answer"": ""国籍を理由とする差別的取り扱いの禁止\n使用者は、労働者の国籍、信条又は社会的身分を理由として、賃金、労働時間、その他の労働条件について、差別的取り扱いをしてはならないとされています。（労働基準法　第3条）\n労働条件の明示\n使用者は、労働契約を締結するにあたって、賃金、労働時間その他の労働条件を労働者に明示しなければなりません。特に賃金に関する事項は、書面で明示することが必要です。（労働基準法15条）\nまた、雇い入れにあたっては、賃金、労働時間等の主要な労働条件について、外国人労働者が理解できるようその内容を明らかにした書面（雇入通知書）を交付するよう求められています。\n強制労働･中間搾取の禁止\n使用者は、暴行や脅迫等で、労働者の意思に反して労働を強制してはなりません。\nまた、法令に基づいて許される場合のほか、業として他人の就職に介入して利益を得てはなりません。\n労働契約の不履行について違約金，損害賠償額を予定する契約の禁止\n契約期間満了前の退職等，労働者側の労働契約不履行について違約金を定めたり、損害賠償の額を予定する契約をすることは禁止されています。（労働基準法第16条）\n労働災害にあって療養中の労働者に対する解雇の制限\n業務上負傷し、又は疾病にかかり療養のために休業する期間及びその後30日間の解雇は禁止されています。(労働基準法第19条)\n解雇の予告\n労働者を解雇する場合には、少なくとも30日前に予告する必要があります。30日前に予告しない場合には30日に不足する日数分の平均賃金 (解雇予告手当)を支払う必要があります。\nただし、天災などのやむを得ない事由のために事業の継続が不可能になった場合や、労働者の責に帰すべき事由により解雇する場合はこの限りではありませんが、その場合、労働基準監督署長による解雇予告の除外認定を受けることが必要です。（労働基準法第20条､第21条）\n賃金の支払い\n賃金は､通貨で､労働者に対し直接に､全額を､毎月1回以上、一定期日を定めて支払わなければなりません。ただし、税金、雇用保険料などの法定控除及び組合費などの労使協定による控除は全額払いの例外となります。(労働基準法第24条)\n最低賃金\n使用者は労働者に対し最低賃金額以上の賃金を支払わなくてはなりません。最低賃金には、地域別最低賃金と産業別最低賃金があります。(最低賃金法)\n労働時間､休日\n法定労働時間は、1日8時間、1週間40時間 (一部の規模・業種の事業場については46時間)となっています。(労働基準法第32条。第40条)法定の休日は、週について１日又は４週について４日以上とされています。(労働基準法第35条)\n時間外・休日労働及び深夜労働の割増賃金\n法定の労働時間を延長し､法定の休日に労働させるには、法令で定められた一定の手続きが必要とされています。（労働基準法第36条）\nまた、法定の労働時間を超える労働に対しては､通常の労働時間または労働日の賃金の25％以上の率、法定の休日における労働に対しては、35％以上の率で計算した割増賃金を支払わなければなりません。\nさらに、深夜（午後10時から午前5時まで）における労働に対しても、25％以上の率で計算した割増賃金を支払わなければなりません。（労働基準法第37条）\n年次有給休暇\n6ヶ月間継続勤務し、全労働の8割以上出勤した労働者に対しては､年次有給休暇を与えなければなりません。（労働基準法第39条）\n金品の返還\n我が国に在留する外国人は、旅券又は外国人登録証明書を常時携帯する必要がある（入管法第23条）ので、事業主は旅券等を保管しないこととされています。\nまた、労働者が退職する際に、請求があった場合、7日以内に当該労働者の権利に属する金品を返還しなければなりません。（労働基準法第23条）\n安全衛生\n労働者の安全と衛生を確保するため、安全衛生教育（雇入れ時の教育等）、健康診断の実施等、労働者の危険又は健康障害を防止するための措置を講じなければなりません。（労働安全衛生法）""}]"
雇用保険について,滋賀県国際協会の情報に基づく要点は以下です。雇用保険は在職中の雇用安定と失業者の生活安定・再就職促進のための給付制度で、労働者と事業主が保険料を納付します。原則として国籍を問わず被保険者となり、事業主を通して適用されます。離職時には条件を満たせば基本手当を受給できます。条件には、日本国内での就労制限のないこと、離職日以前の被保険者期間が通算12カ月以上（解雇・倒産の場合は直前1年間で6カ月以上）、離職により被保険者資格を失ったことの確認、就職したくても就けないこと、などが挙げられます。詳しくは居住地の公共職業安定所へ問い合わせてください。雇用保険法の改正として、出生後休業支援給付金の創設が2025年4月1日から適用され、育児休業を取得した場合、最大28日間、育児休業給付に加えて追加給付が支給され、子どもの出生直後の期間の手取り収入を確保します。ひとり親家庭等の場合は配偶者の休業取得要件は問われません。労働災害については、外国人労働者を含む全被雇用者が労災保険の給付を受けられ、保険料は事業主が全額負担します。詳しい相談は労働基準監督署へ。,"[{""sid"": ""S1"", ""question"": ""雇用保険"", ""answer"": ""雇用保険制度とは、在職中の労働者の雇用の安定を図り、失業中の労働者に対して、生活の安定と再就職の促進のために失業等給付を行うものです。　失業等給付は、労働者と事業主が支払う保険料によってまかなわれており、日本で雇用されれば外国の失業保険制度の適用を受けていることが立証された者を除き、原則として国籍（無国籍を含む）のいかんに関わらず被保険者となり、事業主を通じて被保険者になります。\n労働者が会社を自己都合、解雇などで離職した場合、次の条件を満たし、公共職業安定所が認めれば基本手当てを受給することができます。\n- 日本国内での就労に制限のない方で日本において反復して就労することが可能な方。\n- 離職日以前２年間に、被保険者期間が通算して１２ヶ月以上ある。（解雇や倒産の場合は離職の日以前１年間に通算６ヶ月以上）\n- 離職したため、被保険者の資格をなくしたことが確認された。\n- 仕事をしたくても仕事に就けない。\n※詳しくは、居住地の公共職業安定所までお問い合わせください。\n雇用保険の手続きについて (https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/koyou_roudou/koyou/koyouhoken/index_00003.html)""}, {""sid"": ""S2"", ""question"": ""雇用保険"", ""answer"": ""雇用保険制度とは、在職中の労働者の雇用の安定を図り、失業中の労働者に対して、生活の安定と再就職の促進のために失業等給付を行うものです。　失業等給付は、労働者と事業主が支払う保険料によってまかなわれており、日本で雇用されれば外国の失業保険制度の適用を受けていることが立証された者を除き、原則として国籍（無国籍を含む）のいかんに関わらず被保険者となり、事業主を通じて被保険者になります。\n労働者が会社を自己都合、解雇などで離職した場合、次の条件を満たし、公共職業安定所が認めれば基本手当てを受給することができます。\n- 日本国内での就労に制限のない方で日本において反復して就労することが可能な方。\n- 離職日以前２年間に、被保険者期間が通算して１２ヶ月以上ある。（解雇や倒産の場合は離職の日以前１年間に通算６ヶ月以上）\n- 離職したため、被保険者の資格をなくしたことが確認された。\n- 仕事をしたくても仕事に就けない。\n※詳しくは、居住地の公共職業安定所までお問い合わせください。""}, {""sid"": ""S3"", ""question"": ""雇用保険法　「出生後休業支援給付金」の創設 ( 2025年４月１日からの法改正 )"", ""answer"": ""雇用保険の被保険者が子どもの出生直後の一定期間に、両親ともに１４日以上の育児休業を取得した場合、最大28日間、現在の育児休業給付に加えて追加の給付金が支給されます。これにより、育児休業前と同額の手取り収入（10割相当）が補償されることになります。\nなお、ひとり親家庭や配偶者が専業主婦（夫）、または自営業者などの場合は配偶者の休業取得要件は問われません。""}, {""sid"": ""S4"", ""question"": ""雇用保険法　「出生後休業支援給付金」の創設 ( 2025年４月１日からの法改正 )"", ""answer"": ""雇用保険の被保険者が子どもの出生直後の一定期間に、両親ともに１４日以上の育児休業を取得した場合、最大28日間、現在の育児休業給付に加えて追加の給付金が支給されます。これにより、育児休業前と同額の手取り収入（10割相当）が補償されることになります。\nなお、ひとり親家庭や配偶者が専業主婦（夫）、または自営業者などの場合は配偶者の休業取得要件は問われません。""}, {""sid"": ""S5"", ""question"": ""労働災害"", ""answer"": ""外国人労働者（入国管理法における「不法就労者」を含む）も仕事場でケガをしたり、仕事が理由で病気になったり、死亡したり、あるいは職場への行きかえりに事故にあったりした場合には、医療費、仕事ができない分の補償、傷害が残ったときの補償等を労災保険から受けられます。この保険には、パートタイマー、アルバイトを問わず労働者を1人でも雇っている事業主は加入しなければならず、保険料については事業主が全額負担しなければなりません。 詳しいことは労働基準監督署に相談しましょう。""}]"
妊娠による解雇,滋賀県国際協会の情報の範囲では、妊娠を理由とした解雇は不適切であるとされる一般的な原則（正当な休職・産休・育児休業の取得を理由にした不利益取り扱いの禁止）は示されていません。ただし、解雇は労働基準法等の法令に従う必要があり、妊娠を理由に解雇することは原則として不当です。実務的には、妊娠を理由として解雇することは慎重を要し、法的には不当解雇や解雇予告手当等の適用が問題となる場合があります。具体的な判断や手続きについては、就業規則や労働法の専門家へ相談してください。,"[{""sid"": ""S1"", ""question"": ""退職するときは"", ""answer"": ""自己都合による退職\n退職については、通常就業規則に定めがありますので、あらかじめその内容や手続きについて確認しておきましょう。 　なお、民法（第627条）によれば、期間に定めのない労働契約の場合は，原則として退職の申し入れから２週間後に契約は終了するものとされています。\nただし、急に「辞めたい」と申し入れることは、会社にとっては事務引継ぎなどで困ることもありますので、退職の時期等については会社と充分話し合うことが望ましいでしょう。\n事業主からの解雇\n解雇に当たっては、雇用者は労働者に少なくとも30日前にその予告をする必要があり、30日前に予告しない場合には30日に不足する日数分の平均賃金（解雇予告手当）を支払う必要があります。（労働基準法20条、21条）。""}]"
家族を探してほしい,滋賀県国際協会の情報に基づくと、家族を探す方法としては、地域の家庭児童相談室や市町役場の相談窓口を利用することが推奨されています。また、地域子育て支援拠点や児童館などの相談窓口で情報提供を受けることができます。必要に応じて“しが外国人相談センター”へ連絡して言語サポートを受けることも可能です。具体的な窓口は市町村の役場や地域の子育て支援拠点にお問い合わせください。,"[{""sid"": ""S2"", ""question"": ""子育て応援シリーズ① 子どもが生まれたら"", ""answer"": ""子どもが生まれたらお住まいの役所で様々な手続きがあります。外国籍の子どもには、領事館（大使館）や出入国管理局での手続きも必要になります。\n役所でする手続き\n1. 出生届\n2. 児童手当\n3. 子どもの健康保険\n4. 福祉医療費助成（乳幼児）\n大使館・出入国管理局での手続き\n- 生まれてから30日以内に出入国管理局で子どもの在留許可申請をします。\n- 各国領事館 （大使館）で子どもの国籍を取得し、パスポートの申請をします。\n子どもとお母さんの健康のために\n出産後、子どもとお母さんの健康を定期的に確認します。子どもの各種健診や教室、訪問のほとんどが無料なので積極的に利用しましょう。心配なことがあれば相談しましょう。\n- 産後健診\n- 新生児訪問\n- 予防接種\n- 乳幼児健診\n- 離乳食教室\n子どもの成長、発達が気になる．．．\nまずは乳幼児健診の時やかかりつけ医に相談しましょう。\n市町の保健センター\n市町の発達支援室・センター (https://www.pref.shiga.lg.jp/file/attachment/5397382.pdf)\n発達障害に関する外国人保護者向けパンフレット\n発達障害情報・支援センター (http://www.rehab.go.jp/ddis/world/brochure/)\n育児の不安を相談したい．．．\n市町の家庭児童相談室　市町の役場で相談しましょう。\nこころんだいやる電話相談\nTEL： 077-524-2030\n（子ども・子育て応援センター　電話、または面接での相談ができます）\n児童相談所相談専用ダイヤル\nTEL：0120-189-783\n虐待かな．．．\n児童相談所虐待対応ダイヤル\nTEL：189\n子どもを一時的に預かってほしい．．．（事前登録要）\nファミリー・サポート・センター\nファミリー・サポート・センター (https://www.hugnavi.net/child/family.php)\n「子どもを預けたい人」と「子どもを預かりたい人」を結び付け、保育所までの送迎や、保護者の病気などの際に子どもを預かったりします。\n一時預かり事業\n保護者の病気や用事の時に子どもを保育所などで一時的に預かります。\n病児・病後児保育\n病児・病後児保育 (https://hugnavi.net/child/byouji.php)\n子どもが病気の際、保護者が家庭での保育が難しい場合に、医療機関や保育所等で子どもを一時的に保育します。\n働いているので子どもを保育所で預かってもらいたい．．．\n保育所、認定こども園、認可外子ども施設などで、０歳から子どもを預かってもらえます。施設の利用にはお住まいの市町から利用のための認定を受ける必要があります。市町の役場で相談しましょう。\n一人で子どもを育てています．．．\n経済支援、就労支援のほかに、家事や子育てのサポートが受けられます。\n市町の役場で相談しましょう。\n子どもとお出かけしたい．．．\n地域子育て支援拠点\n地域子育て支援拠点 (https://hugnavi.net/child/base.php)\n子育て中の親子が集い、相互交流や子育ての不安・悩みを相談できる場です。\n児童館\n児童館 (https://hugnavi.net/child/house.php)\n健全な遊びを通して、子どもの発達を援助していく施設です。\n♡滋賀県立びわ湖こどもの国\n滋賀県立びわ湖こどもの国 (http://www.biwa.ne.jp/~kodomo92/sp/index.html)\nたくさんの遊具がある大型の児童館です。　高島市安曇川町北船木\n悩みがあれば、相談しましょう！\n★言葉が心配なときは、「しが外国人相談センター」にお電話ください。\nTEL：077-523-5646\nSHIGA SMILE BABY PROJECT　～ありがとうの贈り物～\nSHIGA SMILE BABY PROJECT　～ありがとうの贈り物～ (https://www.pref.shiga.lg.jp/ippan/kosodatekyouiku/kosodate/319567.html)\n滋賀で生まれた子どもやその家族へ「おめでとう、ありがとう」の思いをこめて、社会全体で出産・子育てを応援しているというメッセージとともに「ありがとうの贈り物」をお届けします。\n対象：１歳未満の赤ちゃん　※事前申し込みが必要です。""}]"
出産手当金,出産手当金は、妊娠や出産に伴い長期間会社を休む際、健康保険へ加入している人に支給される給付です。給付額は直近一年間のお給料を平均した額のおおよそ2/3で、出産日以前42日間（多胎妊娠は98日間） plus 出産日後56日間の期間に支給されます。手続きは勤務先を通して健康保険へ申請します。なお、扶養家族の出産には対象外です。,"[{""sid"": ""S1"", ""question"": ""【健康保険シリーズ5】子どもが生まれたら"", ""answer"": ""健康保険は病気になったときの給付だけではありません。他にもさまざまな給付があります。今日はその中でも、出産にかかわる健康保険からの給付をご紹介します。出産を控えている方にはぜひ知っておいて欲しい制度です。\n出産は保険が使えるの？「出産育児一時金」\n正常な妊娠・出産は病気ではありませんので、健康保険の対象外となります。3割負担での受診はできません。\nしかし「出産育児一時金」の直接払いの手続きをすれば、出産費用が補助されます。\n病院では補助される額を超えた分のみの費用負担で済みます。\n補助額\n一児につき50万円\n（重度の脳性麻痺を保障する制度に加入していない病院では４8.８万円）\n対象者\n妊娠４ヵ月（８５日）以降の出産で、死産を含みます。\n手続き方法\n病院で手続きができます。利用申込の書類に署名してください。\n出産育児一時金 URL: https://www.kyoukaikenpo.or.jp/g6/cat620/r310/ (https://www.kyoukaikenpo.or.jp/g6/cat620/r310/)\n*頁右上の Select language で言語を選択（英語、中国語（簡体字、繁体字）、韓国語、スペイン語、ポルトガル語）\n出産で会社を休んだら？　「出産手当金」\n妊娠や出産で長期間仕事を休むと、お給料が支払われなくなり生活に困ることもあります。しかし会社で健康保険に加入して働いている方は、「出産手当金」を請求すれば生活保障として手当金が支給されます。（扶養家族の出産は対象外です。また市町村の国民健康保険には、この制度はありません）\n給付額\n直近一年間のお給料を平均した額のおおよそ2/3\n対象期間\n出産日以前42日間（多胎妊娠は98日間）＋出産日後56日間\n手続き方法\n会社を通して健康保険に申請してください。\n出産手当金 URL: https://www.kyoukaikenpo.or.jp/g6/cat620/r311/ (https://www.kyoukaikenpo.or.jp/g6/cat620/r311/)\n*頁右上の Select language で言語を選択\nまた毎月のお給料から引かれている社会保険料も、産休中は支払いが免除されます。\n会社の総務の方に相談してみてください。""}]"
エアコンの設置等,申し訳ありません。ご質問の「エアコンの設置等」について、滋賀県国際協会の提供情報だけを根拠とする事実ベースの回答を作成するには、具体的な情報源が必要です。現時点では、当協会の公開資料にエアコン設置に関する詳細なガイドラインや手続き情報が確認できません。該当情報が必要であれば、公式サイトの該当ページやお問い合わせ窓口をご案内します。,[]
自転車購入のトラブル,滋賀県協会の情報に基づくと、自転車購入時のトラブルは以下の点に注意してください。1) 買い取り・譲渡の場合でも名義変更が必要になるケースがあり、原付バイクと同様に住民登録地の市役所または陸運局で手続きします（原付50–125ccは市役所、12６cc以上は陸運局）。2) 自転車のヘルメット着用は努力義務となっています（自転車運転者の遵守事項）。3) 自賠責保険は自転車には適用されませんが、任意保険への加入を検討すると安心です。4) 中古車の名義変更は買い手が手続きを行うのが基本ですが、友人から買う場合は一緒に手続きへ同行する方法もあります。これらの点を確認して手続き・保険を整えることをおすすめします。,"[{""sid"": ""S1"", ""question"": ""二輪車のルールを知ってますか？"", ""answer"": ""自転車用ヘルメットの着用について\n道路交通法の一部を改正する法律の施行により、2023年4月1日から\n自転車利用者のヘルメット着用が努力義務になりました。\n。\n【自転車の運転者等の遵守事項】\n1. 自転車の運転者は、乗車用ヘルメットをかぶるよう努めなければなりません。\n2. 自転車の運転者は、子どもを乗せる場合、または他人に自転車を貸す場合は、その人に乗車用ヘルメットをかぶらせるよう努(つと)めなければなりません。\n3. 保護者の方は、児童や幼児が自転車を運転するときは、ヘルメットをかぶらせるよう努めなければなりません。\nバイク購入時の手続きについて\n販売店で原付バイクを購入すれば手続きはすべて行ってくれます。しかし、知人や友人、ネットオークションなどで中古バイクを譲り受けた場合は、自分で名義変更等の手続きをします。\n名義変更（登録）の手続きをする方法\nバイクの名義変更（登録）の方法は、バイクの排気量によって異なります。\n☆☆\t☆\t原付バイク（50～125cc）\n新しい所有者が住民登録をしている市役所で手続きできます。\n☆☆\t☆\t軽二輪バイク、中型・大型バイク（12６cc以上）\n新しい所有者の住所を管轄している運輸支局（陸運局）で手続きをします。\n滋賀運輸支局：守山市木浜町2298番地の5\n登録検査手続き案内：050-5540-2064\n! \t\t個人売買の基本ルールとしては買い手側が名義変更の手続きを行いますが、友人から買う場合は一緒に陸運局や役所に手続きに行く方法もあります。\n自賠責保険への加入\nバイク保険は「自賠責保険」と「任意保険」の二種類があります。\nバイクを購入すると自賠責保険への加入が必須です。\n自賠責保険は人身事故の補償を対象とした強制加入のもので、未加入運転の場合には罰則があります。また、加入は義務ではありませんが、被害者と加害者両方を補償できる任意保険に加入しておくと安心です。""}]"
健康診断の予約,"協会けんぽ滋賀支部の健診案内に沿って、健康診断の予約を行いましょう。40歳以上の特定健診案内は通常4月に郵送・送付され、受診券があれば費用が7,150円引きになる場合があります。自宅に案内が届いたら、事前に受診したい病院や会場を予約し、受診券を用意してください。会社勤めの方は職場の案内に従い、扶養家族の方は40歳以上で案内が届いたら予約を進めてください。もし案内が届いていない方や市町村の健診補助情報を知りたい方は、お住いの市町村役場や協会けんぽ滋賀支部までお問い合わせください。なお、協会けんぽの健診費用補助は、35〜74歳の就労者向けの詳しい案内が滋賀支部HPで案内されています。","[{""sid"": ""S1"", ""question"": ""【健康保険シリーズ ８】年に１回は健診を受けましょう！"", ""answer"": ""健康診断を受けていますか？健診はからだの異常を早期に発見できる絶好の機会です。まったく自覚症状のない検査数値の異常も、放置しておくと命にかかわる病気に進行してしまう可能性があります。そのため、毎年の健診結果を確認、比較し、からだの変化を読み取ることが大切です。年に１回は必ず健診を受けましょう。\n日本では、４０歳から７４歳までの健康保険の加入者を対象とした「特定健診」を実施しています。加入する健康保険から年に１回健診費用の補助が受けられます。\n★お勤めの方\n年に１回、健康診断を従業員に受けさせることが事業主に義務付けられています。\n会社で健康診断の案内があったら必ず受診しましょう。法で定められた検査項目については、事業主が費用を負担します。\n★★\t協会けんぽの健康保険に加入の扶養家族の方\n４０歳以上のご家族の方には、毎年４月に特定健診の案内が自宅に届きます。\n中には、受診券やパンフレットなどが入っています。事前に受けたい病院や会場を予約して、特定健診を受けましょう。受診券があれば、費用の総額から７,１５０円引きになります。 自己負担なしの無料で受けられる会場もありますので、案内が届いたら、必ず受診しましょう。\n★★国民健康保険に加入中の方\n国民健康保険でも特定健診の受診を推進しており、自宅に案内を配付していますので、案内が届いたら必ず受診しましょう。案内の時期や内容については、住んでいる市町村役場に聞いてみましょう。\n協会けんぽに加入の皆様へ ～ お知らせ ～\n从2２０２３年１月から、協会けんぽの申請書・届出書の様式が変更になりました。\n新しい様式は、協会けんぽのホームページからダウンロードできます。\n古い様式の申請書・届出書をお持ちの方は、使用せず廃棄してください。""}]"
証明写真,滋賀県国際協会の情報には“証明写真”に関する具体的な案内は含まれていません。したがって、証明写真については滋賀県内の公共機関や写真館の案内をご確認ください。,"[{""sid"": ""S1"", ""question"": ""運転免許証の取得"", ""answer"": ""外国の免許がなく新しく日本の運転免許を取るには、日本人と同様の方法で試験を受けてください。 この場合の筆記試験は、日本語、英語、ポルトガル語、中国語から選択できます。\n日本の交通ルールについては、Rules of Road’( 「交通の教則本」JAF発行）が、英語，中国語、スペイン語、ポルトガル語で発行されています。""}]"
タガログ語通訳の依頼。,滋賀県国際協会の情報だけに基づくと、タガログ語通訳の直接の連絡先は提示されていません。OTIT外国人技能実習機構の多言語窓口としてタガログ語の電話番号が案内されていますが、滋賀県内でのタガログ語通訳依頼に関する具体的な窓口は記載されていません。法テラス滋賀の多言語ダイヤルにはタガログ語の案内番号があり、法律相談のサポートは可能です。もし滋賀県内の通訳手配が必要であれば、滋賀労働局の外国人労働者向け相談ダイヤル（タガログ語は火・水 0570-001705）等の案内を初期問い合わせ先としてご検討ください。これらの情報はS1およびS5から引用しています。,"[{""sid"": ""S1"", ""question"": ""技能実習について"", ""answer"": ""OTIT外国人技能実習機構　母国語相談\nTel 0120-250-147（英語 English）\nTel 0120-250-169 （中国語 中文）\nTel 0120-250-197（タガログ語 Tagalog）\nTel 0120-250-197（タガログ語 Tagalog）\nTel 0120-250-168（ベトナム語 Tiếng Việt）\nTel 0120-250-192（インドネシア語 Indonesia）　 　等々""}, {""sid"": ""S5"", ""question"": ""派遣労働についての新しいルール等を知って、就労に役立てましょう！"", ""answer"": ""■派遣受け入れ期間の制限と労働契約の申し込み義務について\n一部の業務を除き、派遣先で派遣労働者を受け入れることのできる期間には最長３年の制限があります。期間制限を超えてその業務について派遣労働者を仕事をさせる場合などは、派遣先は派遣労働者へ労働契約の申込みをしなければなりません。 2015年の労働者派遣法改正法で、派遣として、同じ事業所で同じ仕事を３年を超えて働くことは、基本的にできないことになりました。一定の手続きを経れば、３年を超えて働くことはできますが、異なる「課」などへ移動することが必要です。2018年９月より、同じ事業所の同じ「課」などに、継続して３年派遣される見込みとなった場合には、派遣元事業主（派遣会社）から下記の雇用安定措置（義務）を受け取ることが可能です。 （１年以上３年未満派遣見込みの方には、努力義務の対象。「派遣元で無期雇用されている派遣労働者」や「６０歳以上の派遣労働者」などは、雇用安定措置の対象外）\n対象：2015年９月３０日以降に労働者派遣契約を締結・更新した派遣労働者\n△　雇用安定措置の内容（義務）\n派遣元事業主は、以下の1.～4.のいずれかの措置を講じる必要があります。また、1.を講じて直接雇用に結び付かなかった場合には、別途2.～4.のいずれかの措置を講じる必要があります\n1. 派遣先への直接雇用の依頼（派遣先が同意すれば、派遣先の社員となります）\n2. 新たな派遣先の提供（その条件が派遣で働く方の能力、経験に照らして合理的なものに限る）\n3. 派遣元での派遣労働者以外としての無期雇用\n4. その他雇用の安定を図るための措置\n注意\n- 雇用安定措置の対象となるには、派遣元事業主に対し、派遣終了後も継続して就業することを希望することが必要です。雇用安定措置1.～4.のうち、派遣元事業主に講じてもらいたいものを希望することができます。\n- 派遣先が、派遣労働者を禁止業務（港湾運送業務、建設業務、警備業務、医療関連業務）に従事させたり、期間制限に違反して労働者派遣を受け入れたなどの場合には、その派遣労働者に対して労働契約の申し込みをしたとみなされます。\n■無期雇用への転換推進措置について\n2018年４月から無期雇用の申請受付も始まっています。有期労働契約が2013年４月以降、反復して更新されて通算５年を超えたときは、労働者の申し込みにより、次回の契約から期間の定めのない労働契約に転換できます。（詳しくはみみタロウ１２６号）\n労働についての相談窓口\n滋賀労働局総合労働相談コーナー　℡：077-522-6648　（日本語）\n大津市打出浜１４－１５滋賀労働総合庁舎４Ｆ\n「外国人労働者向け相談ダイヤル」10:00～15:00\n- 英語　　　　　月～金　　　℡ 0570-001701\n- 中国語　　　　月～金　　　℡ 0570-001702\n- ポルトガル語　月～金　　　℡ 0570-001703\n- スペイン語　　火、木、金　℡ 0570-001704\n- タガログ語　　火、水　　　℡ 0570-001705""}]"
歯科治療についての法的アドバイス,滋賀県国際協会の情報を根拠に、歯科治療に関する法的アドバイスとしては、特定の治療自体の法的義務や制限を示す公式の法令解釈は提供されていません。一般的には治療費や保険適用の扱いは健康保険制度の下で決定され、病院選択や初診・紹介状の有無は大病院の受診に関する費用の差異に影響します。紹介状なしで大病院を受診した場合の追加料金等は健康保険制度の改正情報として案内されています。歯科治療に関する具体的な権利・義務やトラブル対応については、法テラスや滋賀弁護士会などの法的支援窓口の利用を検討してください。,"[{""sid"": ""S3"", ""question"": ""【健康保険シリーズ７】大きな病院にかかるときは注意が必要です"", ""answer"": ""【選定療養費の改正について】\n2022年10月から国の制度が見直しとなり、紹介状なしで大病院を受診するときの医療費負担が大きくなりました。\n初診　５，０００円　→　７，０００円（税別）\n再診　２，５００円　→　３，０００円（税別）\nこの金額は健康保険の対象外です。高額療養費にも含まれません。大病院とは大学病院や、おおむね２００床以上の病院のことです。日本の病院は、病院の規模などに応じた役割分担をすすめています。\n軽症の患者が初めから大病院を受診してしまうと、本来大病院で治療するべき重症患者の受診や入院患者への対応が妨げられてしまいます。\n紹介状をもたず大病院を受診した場合は、通常の医療費の他に７，０００円以上の特別な料金がかかりますので、注意してください。\nまずお住まいの地域の診療所を受診し、必要に応じ大病院の紹介を受けてください。""}, {""sid"": ""S4"", ""question"": ""【健康保険シリーズ７】大きな病院にかかるときは注意が必要です～"", ""answer"": ""【選定療養費の改正について】\n2022年10月から国の制度が見直しとなり、紹介状なしで大病院を受診するときの医療費負担が大きくなりました。\n初診　５，０００円　→　７，０００円（税別）\n再診　２，５００円　→　３，０００円（税別）\nこの金額は健康保険の対象外です。高額療養費にも含まれません。大病院とは大学病院や、おおむね２００床以上の病院のことです。日本の病院は、病院の規模などに応じた役割分担をすすめています。\n軽症の患者が初めから大病院を受診してしまうと、本来大病院で治療するべき重症患者の受診や入院患者への対応が妨げられてしまいます。\n紹介状をもたず大病院を受診した場合は、通常の医療費の他に７，０００円以上の特別な料金がかかりますので、注意してください。\nまずお住まいの地域の診療所を受診し、必要に応じ大病院の紹介を受けてください。""}]"
